# t_fs photon_number total_excited_population excited_per_molecule total_excitation Z ReP ImP
4.850000000000000533e+00 5.606552898413881270e-01 4.393447101586120396e-01 8.786894203172240791e-02 1.000000000000000222e+00 6.794080357610055021e-01 8.014799105974861060e-02 0.000000000000000000e+00
4.900000000000000355e+00 5.534692568880155150e-01 4.465307431119847070e-01 8.930614862239694141e-02 1.000000000000000222e+00 6.746777582169377618e-01 8.133056044576553179e-02 0.000000000000000000e+00
4.950000000000000178e+00 5.462786090521282167e-01 4.537213909478718388e-01 9.074427818957436775e-02 1.000000000000000000e+00 6.699609833114557045e-01 8.250975417213606000e-02 0.000000000000000000e+00
5.000000000000000000e+00 5.390849193729396749e-01 4.609150806270606582e-01 9.218301612541213164e-02 1.000000000000000444e+00 6.652587693308307237e-01 8.368530766729230519e-02 0.000000000000000000e+00
5.050000000000000711e+00 5.318897549736195662e-01 4.681102450263804893e-01 9.362204900527609785e-02 1.000000000000000000e+00 6.605721562216637643e-01 8.485696094458400340e-02 0.000000000000000000e+00
5.100000000000000533e+00 5.246946768356021140e-01 4.753053231643977750e-01 9.506106463287955499e-02 9.999999999999998890e-01 6.559021655250361071e-01 8.602445861874093158e-02 0.000000000000000000e+00
5.150000000000000355e+00 5.175012395034815915e-01 4.824987604965183530e-01 9.649975209930367059e-02 1.000000000000000000e+00 6.512498002163320532e-01 8.718754994591695895e-02 0.000000000000000000e+00
5.200000000000000178e+00 5.103109900405233823e-01 4.896890099594766732e-01 9.793780199189533464e-02 1.000000000000000000e+00 6.466160442328025004e-01 8.834598894179933326e-02 0.000000000000000000e+00
5.250000000000000000e+00 5.031254679776078209e-01 4.968745320223921791e-01 9.937490640447843582e-02 1.000000000000000000e+00 6.420018624515452244e-01 8.949953438711365228e-02 0.000000000000000000e+00
5.300000000000000711e+00 4.959462052447930480e-01 5.040537947552070630e-01 1.008107589510414126e-01 1.000000000000000000e+00 6.374082006810672940e-01 9.064794982973314874e-02 0.000000000000000000e+00
5.350000000000000533e+00 4.887747259103575881e-01 5.112252740896425784e-01 1.022450548179285046e-01 1.000000000000000222e+00 6.328359857141616640e-01 9.179100357145955624e-02 0.000000000000000000e+00
5.400000000000000355e+00 4.816125461466239654e-01 5.183874538533761456e-01 1.036774907706752291e-01 1.000000000000000000e+00 6.282861253045054495e-01 9.292846867387359600e-02 0.000000000000000000e+00
5.450000000000000178e+00 4.744611731389773435e-01 5.255388268610226010e-01 1.051077653722045091e-01 1.000000000000000000e+00 6.237595078400155479e-01 9.406012303999607138e-02 0.000000000000000000e+00
5.500000000000000000e+00 4.673221049635446489e-01 5.326778950364552401e-01 1.065355790072910480e-01 9.999999999999998890e-01 6.192570023140762103e-01 9.518574942148091966e-02 0.000000000000000000e+00
5.550000000000000711e+00 4.601968305699981610e-01 5.398031694300020611e-01 1.079606338860004122e-01 1.000000000000000222e+00 6.147794583282581993e-01 9.630513541793540855e-02 0.000000000000000000e+00
5.600000000000000533e+00 4.530868295220757958e-01 5.469131704779242042e-01 1.093826340955848520e-01 1.000000000000000000e+00 6.103277062503836836e-01 9.741807343740403746e-02 0.000000000000000000e+00
5.650000000000000355e+00 4.459935721501018802e-01 5.540064278498981754e-01 1.108012855699796462e-01 1.000000000000000000e+00 6.059025573080222271e-01 9.852436067299440159e-02 0.000000000000000000e+00
5.700000000000000178e+00 4.389185185481845330e-01 5.610814814518155780e-01 1.122162962903631156e-01 1.000000000000000000e+00 6.015048034254637521e-01 9.962379914363402034e-02 0.000000000000000000e+00
5.750000000000000000e+00 4.318631183147836339e-01 5.681368816852163661e-01 1.136273763370432843e-01 1.000000000000000000e+00 5.971352172156259019e-01 1.007161956960934829e-01 0.000000000000000000e+00
5.800000000000000711e+00 4.248288105527103231e-01 5.751711894472897324e-01 1.150342378894579354e-01 1.000000000000000000e+00 5.927945519800538188e-01 1.018013620049865176e-01 0.000000000000000000e+00
5.850000000000000533e+00 4.178170236964747764e-01 5.821829763035252236e-01 1.164365952607050447e-01 1.000000000000000000e+00 5.884835418889604597e-01 1.028791145277598434e-01 0.000000000000000000e+00
5.900000000000000355e+00 4.108291756434573894e-01 5.891708243565424441e-01 1.178341648713084888e-01 9.999999999999997780e-01 5.842029022489133583e-01 1.039492744377716049e-01 0.000000000000000000e+00
5.950000000000000178e+00 4.038666730933275217e-01 5.961333269066724228e-01 1.192266653813344734e-01 1.000000000000000000e+00 5.799533294299888952e-01 1.050116676425027207e-01 0.000000000000000000e+00
6.000000000000000000e+00 3.969309110585729772e-01 6.030690889414269673e-01 1.206138177882853935e-01 1.000000000000000000e+00 5.757355009547233671e-01 1.060661247613191027e-01 0.000000000000000000e+00
6.050000000000000711e+00 3.900232728643343028e-01 6.099767271356657528e-01 1.219953454271331394e-01 1.000000000000000000e+00 5.715500754981840403e-01 1.071124811254539344e-01 0.000000000000000000e+00
6.100000000000000533e+00 3.831451300778924152e-01 6.168548699221076959e-01 1.233709739844215392e-01 1.000000000000000000e+00 5.673976929994754004e-01 1.081505767501310944e-01 0.000000000000000000e+00
6.150000000000000355e+00 3.762978425275104177e-01 6.237021574724896933e-01 1.247404314944979276e-01 1.000000000000000000e+00 5.632789751403116663e-01 1.091802562149220418e-01 0.000000000000000000e+00
6.200000000000000178e+00 3.694827580775330578e-01 6.305172419224669422e-01 1.261034483844933884e-01 1.000000000000000000e+00 5.591945252878476325e-01 1.102013686780380503e-01 0.000000000000000000e+00
6.250000000000000000e+00 3.627012119356332609e-01 6.372987880643667946e-01 1.274597576128733700e-01 1.000000000000000000e+00 5.551449287402332455e-01 1.112137678149416331e-01 0.000000000000000000e+00
6.300000000000000711e+00 3.559545266236648908e-01 6.440454733763351092e-01 1.288090946752670218e-01 1.000000000000000000e+00 5.511307527465351130e-01 1.122173118133661940e-01 0.000000000000000000e+00
6.350000000000000533e+00 3.492440119601427084e-01 6.507559880398572361e-01 1.301511976079714472e-01 1.000000000000000000e+00 5.471525465421074319e-01 1.132118633644730865e-01 0.000000000000000000e+00
6.400000000000000355e+00 3.425709650145876140e-01 6.574290349854122750e-01 1.314858069970824550e-01 9.999999999999998890e-01 5.432108419085054374e-01 1.141972895228735990e-01 0.000000000000000000e+00
6.450000000000000178e+00 3.359366702026257423e-01 6.640633297973741467e-01 1.328126659594748293e-01 9.999999999999998890e-01 5.393061532177433337e-01 1.151734616955641249e-01 0.000000000000000000e+00
6.500000000000000000e+00 3.293423985594908787e-01 6.706576014405091213e-01 1.341315202881018243e-01 1.000000000000000000e+00 5.354389777635817360e-01 1.161402555591045244e-01 0.000000000000000000e+00
